"gvkey","year","Filing","Date","Restate_Int"
1173,2009,"0001193125-09-096357","5/1/2009",0
1183,2005,"0000950136-05-002881","5/16/2005",0
1183,2006,"0000950136-06-003883","5/15/2006",0
1209,2005,"0000950123-05-013994","11/22/2005",0
1209,2006,"0000950123-06-015112","12/13/2006",0
1209,2007,"0000950123-07-016020","11/28/2007",0
1209,2008,"0000950123-08-016491","11/26/2008",0
1209,2009,"0000950123-09-066095","11/25/2009",0
1210,2005,"0000353184-05-000018","6/17/2005",0
1210,2006,"0000353184-06-000022","6/26/2006",0
1210,2007,"0000353184-07-000010","6/15/2007",0
1210,2008,"0000353184-08-000011","6/16/2008",0
1210,2009,"0000353184-09-000010","6/2/2009",0
1224,2005,"0000277595-05-000015","3/15/2005",0
1224,2006,"0001193125-06-055140","3/15/2006",0
1224,2007,"0001193125-07-040985","2/27/2007",0
1224,2008,"0001193125-08-037535","2/25/2008",0
1224,2009,"0001193125-09-037514","2/25/2009",0
1225,2005,"0000950144-05-001905","3/1/2005",0
1225,2006,"0000092122-06-000153","2/27/2006",0
1225,2007,"0000092122-07-000016","2/27/2007",0
1225,2008,"0000092122-08-000010","2/25/2008",0
1225,2009,"0000092122-09-000011","2/25/2009",0
1228,2009,"0000098618-09-000050","9/30/2009",0
1230,2005,"0000950124-05-001049","2/25/2005",0
1230,2006,"0001193125-06-034170","2/17/2006",0
1230,2007,"0001193125-07-038398","2/23/2007",0
1230,2008,"0001193125-08-034506","2/20/2008",0
1230,2009,"0001193125-09-033073","2/19/2009",0
1234,2005,"0001157523-05-002739","3/22/2005",0
1234,2006,"0001157523-06-002591","3/13/2006",0
1234,2007,"0001157523-07-002536","3/9/2007",0
1234,2008,"0001140361-08-006638","3/13/2008",0
1234,2009,"0001102624-09-000112","3/13/2009",0
1239,2006,"0001193125-06-252473","12/13/2006",0
1239,2007,"0001193125-07-255001","11/28/2007",0
1239,2008,"0001193125-08-243421","11/25/2008",0
1239,2009,"0001193125-09-241446","11/24/2009",0
1246,2005,"0000893220-05-002873","12/9/2005",0
1246,2006,"0000893220-06-002565","12/1/2006",0
1246,2007,"0000893220-07-003851","11/29/2007",0
1254,2005,"0000003453-05-000019","3/8/2005",0
1254,2006,"0000003453-06-000008","2/24/2006",0
1254,2007,"0000003453-07-000009","2/26/2007",0
1254,2008,"0000003453-08-000010","2/28/2008",0
1254,2009,"0000003453-09-000012","2/27/2009",0
1266,2005,"0000003545-05-000071","11/23/2005",0
1266,2006,"0000003545-06-000072","11/28/2006",0
1266,2007,"0001362310-07-003012","11/14/2007",0
1266,2008,"0001362310-08-008222","12/15/2008",0
1266,2009,"0000950123-09-070551","12/14/2009",0
1279,2005,"0001193125-05-046681","3/10/2005",0
1279,2006,"0001193125-06-041541","3/1/2006",0
1279,2007,"0001193125-07-041305","2/28/2007",0
1279,2008,"0001193125-08-040224","2/27/2008",0
1279,2009,"0001193125-09-041324","3/2/2009",0
1300,2005,"0000950117-05-000756","2/25/2005",0
1300,2006,"0000950117-06-000980","3/1/2006",0
1300,2007,"0000930413-07-001369","2/16/2007",0
1300,2008,"0000930413-08-001037","2/15/2008",0
1300,2009,"0000930413-09-000801","2/13/2009",0
1308,2005,"0001019687-05-001024","4/14/2005",0
1308,2006,"0000950129-06-002926","3/22/2006",0
1308,2007,"0000950129-07-001381","3/15/2007",0
1308,2008,"0000950129-08-001569","3/7/2008",0
1308,2009,"0000950129-09-000822","3/9/2009",0
1327,2005,"0000892569-05-001238","12/14/2005",0
1327,2006,"0000892569-06-001446","12/13/2006",0
1327,2007,"0000892569-07-001468","11/27/2007",0
1327,2008,"0000892569-08-001542","12/2/2008",1
1327,2009,"0000950123-09-066947","11/30/2009",0
1331,2005,"0001144204-05-009492","3/31/2005",0
1331,2006,"0001144204-06-012752","3/31/2006",0
1356,2005,"0001193125-05-033143","2/18/2005",0
1356,2006,"0001193125-06-034739","2/17/2006",0
1356,2007,"0001193125-07-033124","2/15/2007",0
1356,2008,"0001193125-08-032695","2/15/2008",0
1356,2009,"0001193125-09-029469","2/17/2009",0
1380,2005,"0000950123-05-003078","3/14/2005",0
1380,2006,"0000950123-06-002849","3/9/2006",0
1380,2007,"0000950123-07-003008","3/1/2007",0
1380,2008,"0000950123-08-002199","2/27/2008",0
1380,2009,"0000950123-09-003700","2/27/2009",0
1382,2005,"0001193125-05-038926","3/1/2005",0
1382,2006,"0000950124-06-001200","3/15/2006",0
1382,2007,"0000950153-07-000433","2/28/2007",0
1382,2008,"0000950153-08-000353","2/21/2008",0
1382,2009,"0000950134-09-003177","2/18/2009",0
1388,2005,"0000950134-05-003727","2/25/2005",0
1388,2006,"0000950134-06-003714","2/24/2006",0
1388,2007,"0000950134-07-003887","2/23/2007",1
1388,2008,"0000004515-08-000016","2/20/2008",0
1388,2009,"0000004515-09-000008","2/19/2009",0
1397,2005,"0001171520-05-000152","3/30/2005",0
1397,2006,"0001171520-06-000125","3/31/2006",0
1397,2007,"0001171520-07-000118","4/2/2007",0
1397,2008,"0001171520-08-000197","3/31/2008",0
1397,2009,"0001171520-09-000227","3/30/2009",0
1408,2005,"0001206774-05-000320","3/14/2005",0
1408,2006,"0001193125-06-049050","3/9/2006",0
1408,2007,"0001047469-07-001501","3/1/2007",0
1408,2008,"0001193125-08-041927","2/28/2008",0
1408,2009,"0001193125-09-041120","2/27/2009",0
1410,2005,"0000950134-05-000777","1/14/2005",0
1410,2006,"0000950134-06-023656","12/22/2006",0
1410,2007,"0000950134-07-026080","12/21/2007",0
1410,2008,"0000950123-08-018152","12/22/2008",1
1410,2009,"0000950123-09-072792","12/22/2009",0
1429,2005,"0001104659-05-057515","11/23/2005",0
1429,2006,"0001104659-06-078255","11/29/2006",0
1429,2007,"0001104659-07-085909","11/29/2007",0
1429,2008,"0001104659-08-073312","11/26/2008",0
1429,2009,"0001104659-09-062419","11/4/2009",0
1439,2005,"0001015402-05-001005","3/1/2005",0
1439,2006,"0001140361-06-002743","2/21/2006",0
1439,2007,"0000891020-07-000070","3/9/2007",0
1439,2008,"0000950134-08-003590","2/27/2008",0
1439,2009,"0001019687-09-000650","2/25/2009",0
1440,2005,"0001015402-05-001007","3/1/2005",0
1440,2006,"0000004904-06-000034","3/1/2006",0
1440,2007,"0000004904-07-000041","2/28/2007",0
1440,2008,"0000004904-08-000022","2/28/2008",0
1440,2009,"0000004904-09-000040","2/27/2009",0
1468,2005,"0000950152-05-004293","5/11/2005",0
1468,2006,"0001193125-06-105815","5/10/2006",0
1468,2007,"0001193125-07-095931","4/30/2007",0
1468,2008,"0001193125-08-095187","4/29/2008",0
1468,2009,"0001193125-09-092033","4/29/2009",0
1478,2005,"0000005187-05-000033","3/14/2005",0
1478,2006,"0001193125-06-040159","2/27/2006",0
1478,2007,"0001193125-07-039359","2/26/2007",0
1496,2005,"0000950152-05-006233","7/27/2005",0
1496,2007,"0001047469-07-006820","9/4/2007",0
1496,2008,"0000950134-08-011505","6/19/2008",0
1523,2007,"0001144204-07-016448","4/2/2007",0
1523,2008,"0001144204-08-019174","3/31/2008",0
1533,2005,"0000950149-05-000005","1/13/2005",0
1533,2007,"0000950153-07-002699","12/21/2007",0
1533,2008,"0000950153-08-002064","12/15/2008",0
1533,2009,"0000950123-09-073911","12/29/2009",0
1554,2005,"0001047469-05-017679","6/20/2005",0
1554,2006,"0001104659-06-040899","6/9/2006",0
1554,2007,"0001104659-07-047514","6/13/2007",0
1554,2008,"0001104659-08-039830","6/13/2008",0
1554,2009,"0001104659-09-038109","6/15/2009",0
1559,2005,"0000950149-05-000116","3/29/2005",0
1559,2006,"0000950134-06-006314","3/31/2006",0
1559,2007,"0000950134-07-007237","4/2/2007",0
1559,2008,"0000950134-08-005643","3/31/2008",0
1559,2009,"0000950134-09-006565","3/31/2009",0
1562,2005,"0001193125-05-201867","10/14/2005",0
1562,2006,"0001193125-06-147073","7/14/2006",0
1562,2007,"0001193125-07-155732","7/16/2007",0
1562,2008,"0001193125-08-150516","7/14/2008",0
1562,2009,"0001193125-09-148771","7/14/2009",0
1577,2005,"0000950136-05-006243","10/4/2005",0
1585,2005,"0001193125-05-052661","3/16/2005",0
1585,2006,"0001193125-06-056761","3/16/2006",0
1585,2007,"0001193125-07-054676","3/14/2007",0
1585,2008,"0001193125-08-058914","3/17/2008",0
1585,2009,"0001193125-09-054021","3/13/2009",0
1593,2005,"0001104659-05-006529","2/14/2005",0
1593,2006,"0000790730-06-000001","2/2/2006",0
1593,2007,"0000790730-07-000008","2/8/2007",0
1593,2008,"0000790730-08-000004","2/11/2008",0
1593,2009,"0000790730-09-000004","1/29/2009",0
1598,2005,"0000893220-05-000487","3/8/2005",0
1598,2006,"0000893220-06-000448","3/6/2006",0
1598,2007,"0000893220-07-000510","2/28/2007",0
1598,2008,"0000893220-08-000535","2/27/2008",0
1598,2009,"0000893220-09-000390","2/26/2009",0
1602,2005,"0000950129-05-002159","3/9/2005",0
1602,2006,"0001104659-06-015851","3/10/2006",0
1602,2007,"0001193125-07-042586","2/28/2007",0
1602,2008,"0001193125-08-040431","2/28/2008",0
1602,2009,"0001193125-09-041091","2/27/2009",0
1613,2005,"0001193125-05-047435","3/11/2005",0
1613,2006,"0001193125-06-049363","3/9/2006",0
1613,2007,"0001193125-07-049220","3/8/2007",0
1613,2008,"0001193125-08-051626","3/10/2008",0
1613,2009,"0001193125-09-053157","3/13/2009",0
1632,2005,"0000950135-05-006610","11/21/2005",0
1632,2006,"0000950135-06-007047","11/20/2006",0
1632,2007,"0000950135-07-007253","11/30/2007",0
1632,2008,"0000950135-08-007596","11/25/2008",0
1632,2009,"0000950123-09-065635","11/24/2009",0
1633,2005,"0000950135-05-000378","2/1/2005",0
1633,2006,"0001193125-06-208484","10/16/2006",0
1633,2007,"0001193125-07-208957","9/27/2007",0
1633,2008,"0001193125-08-203236","9/29/2008",0
1633,2009,"0001193125-09-199911","9/29/2009",1
1634,2005,"0000006292-05-000014","3/17/2005",0
1634,2006,"0000006292-06-000020","3/16/2006",0
1634,2007,"0000006292-07-000014","3/15/2007",0
1634,2008,"0000006292-08-000018","3/5/2008",0
1634,2009,"0001047469-09-003527","3/31/2009",0
1635,2005,"0000891092-05-001757","9/12/2005",0
1635,2006,"0000891092-06-002541","9/6/2006",0
1635,2008,"0000891092-08-004543","9/15/2008",0
1635,2009,"0000891092-09-003553","9/14/2009",0
1641,2005,"0000006383-05-000013","3/31/2005",0
1650,2009,"0001157523-09-002440","3/31/2009",0
1651,2005,"0001193125-05-242719","12/14/2005",0
1651,2006,"0001193125-06-252522","12/13/2006",0
1655,2005,"0001068800-05-000251","4/14/2005",0
1655,2006,"0001068800-06-000276","4/13/2006",0
1659,2005,"0000950152-05-002095","3/14/2005",0
1659,2006,"0000950152-06-002076","3/14/2006",0
1659,2007,"0000950152-07-002024","3/12/2007",0
1659,2008,"0000950152-08-001522","2/28/2008",0
1659,2009,"0000950152-09-001956","2/27/2009",0
1663,2005,"0001068800-05-000163","3/10/2005",0
1663,2006,"0001068800-06-000185","3/9/2006",0
1669,2005,"0001072613-05-000805","3/31/2005",0
1678,2005,"0000950129-05-002495","3/16/2005",0
1678,2006,"0000950129-06-002614","3/14/2006",0
1678,2007,"0000950129-07-001091","3/1/2007",0
1678,2008,"0000950129-08-001358","2/29/2008",0
1678,2009,"0000950129-09-000708","3/2/2009",0
1682,2005,"0000950134-05-004929","3/14/2005",0
1682,2006,"0000950134-06-004691","3/10/2006",0
1682,2007,"0001140361-07-005646","3/14/2007",0
1682,2008,"0001140361-08-006438","3/11/2008",0
1682,2009,"0000311471-09-000003","3/16/2009",0
1686,2005,"0001193125-05-086815","4/27/2005",0
1686,2006,"0001193125-06-089423","4/26/2006",0
1686,2007,"0001193125-07-099603","5/2/2007",0
1686,2008,"0001193125-08-097178","4/30/2008",0
1686,2009,"0000950152-09-004345","4/29/2009",0
1689,2005,"0001015402-05-001020","3/2/2005",0
1689,2006,"0000004904-06-000036","3/1/2006",0
1689,2007,"0000004904-07-000045","2/28/2007",0
1689,2008,"0000004904-08-000024","2/28/2008",0
1689,2009,"0000004904-09-000043","2/27/2009",0
1690,2005,"0001104659-05-058421","12/1/2005",0
1690,2006,"0001104659-06-084288","12/29/2006",0
1690,2007,"0001047469-07-009340","11/15/2007",0
1690,2008,"0001193125-08-224958","11/5/2008",0
1690,2009,"0001193125-09-214859","10/27/2009",0
1704,2005,"0000950134-05-023162","12/14/2005",0
1704,2006,"0000891618-06-000507","12/14/2006",0
1704,2007,"0000891618-07-000682","12/14/2007",0
1704,2008,"0000950134-08-022104","12/12/2008",0
1704,2009,"0000950123-09-070205","12/11/2009",0
1706,2005,"0001193125-05-222624","11/10/2005",0
1706,2006,"0001193125-06-243784","11/29/2006",0
1706,2007,"0001193125-07-229345","10/30/2007",0
1706,2008,"0001193125-08-219025","10/29/2008",0
1706,2009,"0001193125-09-216254","10/28/2009",0
1712,2005,"0000950134-05-007190","4/11/2005",0
1712,2006,"0000950134-06-007077","4/11/2006",0
1712,2007,"0000950134-07-007709","4/6/2007",0
1712,2008,"0000007039-08-000008","3/14/2008",0
1712,2009,"0000007039-09-000002","3/16/2009",0
1722,2005,"0000007084-05-000350","9/9/2005",0
1722,2006,"0000007084-06-000401","9/11/2006",0
1722,2007,"0000007084-07-000166","8/27/2007",0
1722,2008,"0000007084-08-000044","8/29/2008",0
1722,2009,"0000007084-09-000051","8/26/2009",0
1728,2005,"0000950129-05-002351","3/14/2005",0
1728,2006,"0001104659-06-015330","3/9/2006",0
1728,2007,"0001104659-07-018650","3/13/2007",0
1728,2008,"0001104659-08-016113","3/7/2008",0
1728,2009,"0001104659-09-017850","3/16/2009",0
1743,2005,"0000950134-05-003788","2/25/2005",0
1743,2006,"0000950134-06-003732","2/24/2006",0
1743,2007,"0000950134-07-003964","2/23/2007",0
1743,2008,"0000950134-08-003230","2/22/2008",0
1743,2009,"0000950134-09-003408","2/20/2009",0
1745,2005,"0000065984-05-000147","3/11/2005",0
1745,2006,"0000065984-06-000119","3/10/2006",0
1745,2007,"0000065984-07-000057","3/1/2007",0
1745,2008,"0000065984-08-000052","2/29/2008",0
1745,2009,"0000065984-09-000062","3/2/2009",0
1762,2005,"0001193125-05-065072","3/30/2005",0
1773,2005,"0000950123-05-003213","3/16/2005",0
1773,2006,"0000950123-06-002306","2/27/2006",0
1773,2007,"0000950123-07-002670","2/23/2007",0
1773,2008,"0000950123-08-001295","2/8/2008",0
1773,2009,"0000950123-09-003515","2/26/2009",0
1783,2009,"0001144204-09-011196","2/27/2009",0
1794,2005,"0001305014-05-000152","12/9/2005",0
1794,2006,"0001305014-06-000362","11/28/2006",0
1794,2007,"0001305014-07-000308","11/27/2007",0
1794,2008,"0001305014-08-000364","11/26/2008",0
1794,2009,"0001305014-09-000097","11/23/2009",0
1820,2005,"0001193125-05-080395","4/20/2005",0
1820,2006,"0001193125-06-080376","4/14/2006",0
1820,2007,"0001193125-07-081629","4/16/2007",0
1820,2008,"0001193125-08-082816","4/16/2008",0
1820,2009,"0001193125-09-077930","4/13/2009",0
1823,2005,"0000899797-05-000104","3/25/2005",0
1823,2006,"0000950152-06-002556","3/27/2006",0
1823,2007,"0000950152-07-002216","3/16/2007",0
1823,2008,"0000950152-08-001882","3/12/2008",0
1823,2009,"0000950152-09-002488","3/11/2009",0
1837,2005,"0001004155-05-000018","2/15/2005",0
1837,2006,"0001004155-06-000027","2/10/2006",0
1837,2007,"0001004155-07-000038","2/7/2007",0
1837,2008,"0001004155-08-000032","2/7/2008",0
1837,2009,"0001004155-09-000008","2/5/2009",0
1860,2005,"0000008411-05-000148","12/14/2005",0
1860,2006,"0000008411-06-000156","12/13/2006",0
1860,2007,"0000008411-07-000151","11/29/2007",0
1860,2008,"0000008411-08-000171","11/26/2008",0
1860,2009,"0000008411-09-000088","11/25/2009",0
1864,2005,"0000950117-05-001412","4/14/2005",0
1864,2006,"0000950117-06-001735","4/14/2006",0
1864,2007,"0000930413-07-003503","4/16/2007",0
1864,2008,"0000930413-08-002363","4/14/2008",0
1864,2009,"0000930413-09-002072","4/16/2009",0
1878,2005,"0001193125-05-067261","3/31/2005",0
1878,2006,"0001193125-06-068809","3/30/2006",0
1884,2005,"0001144204-05-009229","3/30/2005",1
1884,2006,"0001144204-06-012884","3/31/2006",0
1884,2007,"0001188112-07-000717","3/16/2007",0
1884,2008,"0001188112-08-000864","3/14/2008",0
1891,2005,"0000008670-05-000186","8/31/2005",0
1891,2006,"0001206774-06-001911","8/30/2006",0
1891,2007,"0001206774-07-002085","8/29/2007",0
1891,2008,"0001206774-08-001519","8/29/2008",0
1891,2009,"0001206774-09-001642","8/28/2009",0
1902,2005,"0000926236-05-000034","3/28/2005",0
1902,2006,"0000926236-06-000043","3/31/2006",0
1913,2005,"0001193125-05-054130","3/17/2005",0
1913,2006,"0000950129-06-002659","3/15/2006",0
1913,2007,"0000950134-07-004370","2/28/2007",0
1913,2008,"0000950134-08-003581","2/27/2008",0
1913,2009,"0000950148-09-000021","2/25/2009",0
1919,2005,"0000950153-05-002345","9/13/2005",0
1919,2006,"0000950153-06-002277","8/30/2006",0
1919,2007,"0000950153-07-001888","8/29/2007",0
1919,2008,"0000950153-08-001548","8/27/2008",0
1919,2009,"0000950123-09-037904","8/25/2009",0
1920,2005,"0000950103-05-000376","3/2/2005",0
1920,2006,"0000950103-06-000506","3/10/2006",0
1920,2007,"0001193125-07-042716","2/28/2007",0
1920,2008,"0001193125-08-034912","2/21/2008",0
1920,2009,"0001193125-09-034027","2/20/2009",0
1926,2005,"0001193125-05-116167","5/27/2005",0
1926,2006,"0001193125-06-110998","5/12/2006",0
1926,2007,"0001193125-07-113151","5/14/2007",0
1926,2008,"0000008947-08-000006","5/12/2008",0
1926,2009,"0000008947-09-000033","5/12/2009",0
1951,2007,"0001096906-07-001551","11/14/2007",0
1951,2008,"0001096906-08-002017","11/14/2008",0
1951,2009,"0001096906-09-001304","11/6/2009",0
1968,2005,"0000950137-05-002481","3/1/2005",0
1968,2006,"0000950137-06-002572","3/6/2006",0
1968,2007,"0000950137-07-003342","3/6/2007",0
1968,2008,"0000950137-08-002959","2/28/2008",0
1968,2009,"0000950137-09-001491","3/4/2009",0
1971,2005,"0000350750-05-000011","3/10/2005",0
1974,2005,"0000950152-05-002155","3/15/2005",0
1974,2006,"0000950128-06-000140","8/15/2006",0
1974,2007,"0000950152-07-002213","3/16/2007",0
1974,2008,"0001193125-08-143428","6/30/2008",0
1974,2009,"0000950152-09-002402","3/10/2009",0
1976,2005,"0000950129-05-001852","3/1/2005",0
1976,2006,"0000950129-06-002136","3/1/2006",0
1976,2007,"0000950134-07-003991","2/23/2007",0
1976,2008,"0000950129-08-001084","2/21/2008",0
1976,2009,"0000950129-09-000672","2/27/2009",0
1979,2005,"0000914317-05-000920","3/16/2005",0
1979,2006,"0000914317-06-000829","3/16/2006",0
1979,2007,"0000914317-07-000693","3/15/2007",0
1979,2008,"0000914317-08-000792","3/17/2008",0
1979,2009,"0000914317-09-000630","3/12/2009",0
1981,2005,"0001193125-05-052559","3/16/2005",0
1981,2006,"0001193125-06-050942","3/10/2006",0
1981,2007,"0001193125-07-042604","2/28/2007",0
1981,2008,"0001193125-08-054278","3/12/2008",0
1988,2005,"0000009389-05-000060","2/23/2005",0
1988,2006,"0000009389-06-000068","2/22/2006",0
1988,2007,"0000009389-07-000049","2/22/2007",0
1988,2008,"0000009389-08-000054","2/25/2008",0
1988,2009,"0000009389-09-000006","2/25/2009",0
1995,2005,"0001047469-05-006149","3/11/2005",0
1995,2006,"0001047469-06-002834","3/3/2006",1
1995,2007,"0001104659-07-014378","2/27/2007",0
1995,2008,"0001047469-08-001783","2/27/2008",0
1995,2009,"0001047469-09-002000","2/27/2009",0
2006,2005,"0001104659-05-015697","4/8/2005",0
2008,2005,"0000897069-05-000574","3/2/2005",0
2033,2005,"0000009779-05-000076","12/29/2005",0
2044,2005,"0001193125-05-038606","2/28/2005",0
2044,2006,"0001193125-06-037819","2/23/2006",0
2044,2007,"0001193125-07-041129","2/27/2007",0
2044,2008,"0001193125-08-037635","2/26/2008",0
2044,2009,"0001193125-09-039210","2/26/2009",0
2049,2005,"0001193125-05-038394","2/28/2005",0
2049,2006,"0001193125-06-039999","2/27/2006",0
2049,2007,"0001193125-07-039825","2/26/2007",0
2049,2008,"0001193125-08-037385","2/25/2008",0
2049,2009,"0001193125-09-035973","2/24/2009",0
2061,2005,"0000950152-05-002892","4/1/2005",0
2061,2006,"0000950133-06-001357","3/20/2006",0
2061,2007,"0000950152-07-007656","9/21/2007",0
2061,2008,"0000950152-08-007126","9/10/2008",0
2061,2009,"0000950123-09-041458","9/8/2009",0
2073,2009,"0000950123-09-015111","6/18/2009",0
2080,2005,"0001193125-05-014214","1/28/2005",1
2080,2006,"0001193125-06-015246","1/30/2006",0
2080,2007,"0001193125-07-029518","2/13/2007",0
2080,2008,"0001193125-08-023087","2/7/2008",0
2080,2009,"0001193125-09-027290","2/12/2009",0
2086,2005,"0001193125-05-052405","3/16/2005",0
2086,2006,"0000950137-06-002686","3/7/2006",0
2086,2007,"0000950137-07-002905","2/28/2007",0
2086,2008,"0000950137-08-002771","2/26/2008",0
2086,2009,"0000950137-09-001173","2/19/2009",0
2100,2005,"0000909334-05-000088","3/31/2005",0
2100,2006,"0000909334-06-000132","4/17/2006",0
2100,2009,"0000909334-09-000171","4/15/2009",0
2101,2005,"0000950152-05-007434","9/2/2005",0
2101,2006,"0000950152-06-007266","8/28/2006",0
2101,2007,"0000950152-07-007127","8/27/2007",0
2101,2008,"0001362310-08-004784","8/20/2008",0
2101,2009,"0000950123-09-036454","8/19/2009",0
2111,2005,"0000950117-05-004677","12/9/2005",0
2111,2006,"0000930413-06-008311","11/30/2006",0
2111,2007,"0000930413-07-008926","11/23/2007",0
2111,2008,"0000930413-08-006967","11/26/2008",0
2111,2009,"0000950123-09-066233","11/25/2009",0
2113,2005,"0001206774-05-002028","12/15/2005",1
2124,2005,"0001144204-05-009461","3/31/2005",0
2124,2006,"0001144204-06-010168","3/16/2006",0
2124,2007,"0001144204-07-013141","3/16/2007",0
2124,2008,"0001144204-08-015714","3/17/2008",0
2124,2009,"0001144204-09-013931","3/13/2009",0
2128,2005,"0000950152-05-002809","3/31/2005",0
2128,2006,"0000950152-06-002979","4/7/2006",0
2128,2007,"0000950152-07-002938","4/2/2007",0
2128,2008,"0000950152-08-002424","3/28/2008",0
2128,2009,"0001362310-09-005172","4/10/2009",0
2136,2005,"0001193125-05-049044","3/14/2005",0
2136,2006,"0001193125-06-053710","3/14/2006",0
2136,2007,"0001193125-07-044126","3/1/2007",0
2136,2008,"0001193125-08-042027","2/28/2008",0
2136,2009,"0001193125-09-036349","2/24/2009",0
2138,2005,"0000950129-05-003130","3/31/2005",0
2138,2006,"0000950129-06-004034","4/17/2006",0
2138,2007,"0000950134-07-007278","4/2/2007",0
2138,2008,"0000950134-08-006553","4/14/2008",0
2138,2009,"0000950134-09-006279","3/27/2009",0
2150,2005,"0000950134-05-004424","3/8/2005",0
2150,2006,"0000950134-06-004331","3/6/2006",0
2150,2007,"0000950134-07-004557","3/1/2007",0
2150,2008,"0000950134-08-003819","2/29/2008",0
2150,2009,"0000950134-09-004247","3/2/2009",0
2154,2005,"0001104659-05-010653","3/11/2005",0
2154,2006,"0001104659-06-016718","3/15/2006",0
2154,2007,"0001104659-07-015628","3/1/2007",0
2154,2008,"0001104659-08-014023","2/29/2008",0
2154,2009,"0001104659-09-012842","2/27/2009",0
2163,2005,"0001188112-05-001255","6/24/2005",0
2163,2006,"0001188112-06-001918","6/23/2006",0
2163,2007,"0001188112-07-001868","6/15/2007",0
2163,2008,"0001188112-08-001908","6/13/2008",0
2163,2009,"0001188112-09-001537","6/29/2009",0
2184,2005,"0001047469-05-014212","5/10/2005",0
2184,2006,"0001104659-06-033306","5/10/2006",0
